GEOID,date_ymd,ppt,tmean,tmax,tmin,tdmean
,20190101,1.0889831981769173E-4,8.232275482327012,15.420487466272661,1.0450941010113646,2.5735382814131853
,20190102,0.001863297512060166,3.453261726143815,5.649386838287872,1.258126193422945,0.3801035323338758
,20190103,0.00338751561158749,2.2348505298849553,7.058871162156208,-2.5881778458946147,-1.9189186659940154
,20190104,7.67574389904683,2.9577792310565796,7.482517507649043,-1.5659743633829883,2.7126391687328564
,20190105,4.453913551458509,5.307707612038128,8.01272864484516,2.6036348397650073,4.244646743666588
,20190106,0.0,3.743012125268469,10.503993690069109,-3.016931521419278,-4.311876212236987
,20190107,2.323880629201164,-0.3373549591940418,2.1603748135357526,-2.8353780771332113,-6.771214075193366
,20190108,4.129966347466364,4.742243186831699,7.793849558650318,1.6916296754592335,3.451028390120867
,20190109,6.696674729135949E-4,3.2390632483086845,7.472096903035408,-0.9928986324160586,-6.434894807868807
,20190110,0.0,-0.5524726843876472,3.1164433750948217,-4.221554000832836,-9.014741862808789
,20190111,0.005212447090681929,-3.5628639817906467,0.6033418553961496,-7.730106603846407,-13.516492345301891
,20190112,4.389194585375551,-2.988315849667778,0.9322958714883416,-6.909898026579898,-9.344918600114182
,20190113,0.7554928775781025,-3.618445990316172,-0.9860860656524066,-6.2518026003019385,-8.287354648879385
,20190114,0.44050912537277087,-4.025798849326005,0.7601410978691161,-8.81276376654411,-10.432674931422955
,20190115,0.13211801509110854,-2.61517066121106,2.5186287581508915,-7.749932581184312,-8.001851074013672
,20190116,0.004484300052655744,-1.001435791957887,3.0479430908118856,-5.051739119896314,-5.217919878011611
,20190117,1.3479521840915107,-1.6464226636200876,0.559269760039226,-3.8531630477969867,-7.8068758894008266
,20190118,0.57517566322687,0.3170952542180427,2.638735455804098,-2.004247614244963,-0.8384153591021982
,20190119,30.183842335377904,3.4329652109588036,7.178169706252915,-0.3112581390641265,-0.02930998815706834
,20190120,2.618454232256597,-2.050566928968724,9.275672706577845,-13.377554998234439,-10.027837862740268
,20190121,0.0,-10.673973872212024,-7.959348760931697,-13.389620232641095,-20.651405497678336
,20190122,0.0,-5.763420946823147,-0.16463695609861767,-11.363191368165648,-12.887716147121834
,20190123,8.629988324023063,6.073393861426826,13.479896571755337,-1.3321195293243346,3.2108171216152783
,20190124,24.51304975153798,6.757991225040643,14.974090836747504,-1.4570985493204431,2.4103200776360083
,20190125,0.0,-2.2441766268546424,3.7690868552679273,-8.258451317300679,-10.834324539050227
,20190126,0.0,-2.9558118833069384,2.0496524498604964,-7.962249584561043,-8.93829003450287
,20190127,0.002580501259897875,1.9180747756783916,7.802688871244688,-3.9656226873872353,-5.453185334456729
,20190128,0.0,-3.0137298121140255,0.5287019481324197,-6.557139499780107,-10.929215411457209
,20190129,6.62204033765839,-2.4859380870275,4.451057395362623,-9.423929032248402,-4.4456118920641385
,20190130,0.1520456555367171,-8.058086937003827,0.3494841411728726,-16.466657630535313,-19.297244382361047
,20190131,0.015137510789494196,-12.467975040631618,-8.586328928321963,-16.35058804202124,-21.050295918481165
,20190201,1.7788925028346143,-11.601290715063337,-8.252295933597111,-14.951293090811745,-14.079221127378794
,20190202,0.017017726372520012,-7.176783844369234,-0.3085677692111357,-14.045969302236552,-8.135889241464701
,20190203,1.0476506618190768E-4,1.7875441034969033,10.189210363277892,-6.613124191478519,-2.01654827075103
,20190204,0.0,6.627382769550313,15.757890724540976,-2.502138602224419,1.2164938916047099
,20190205,0.0,9.469545643951694,18.62241051504439,0.3176875261858732,4.331903590954844
